Branch_ID|PLU|Class|Burui|DP2|Supplier_Code|SPLU|Description|Normal_Price|Current_Price|Disc_Percent|MinQty4Disc|Point|Constraint_Qty|Constraint_Amt|Constraint_Point|Constraint_Flag|Point_Item_Flag|Point_Spending_Flag|Get_Class_Flag|Flag|Margin|Last_Update|Unit_of_Measure|Article_Code|Long_Description|Brand|Package|Perishable|Store_Type
|BEANR05AA|CBS|MWBSECBS0|SC|000062||KENYA RUNGETO scoopi|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2021/01/11 00:00:00.000000000|UNT|BEANR05AA|KENYA RUNGETO scooping 50 grams|Coffee Bean Scoop|0|0|1
|BEANR05B|SCB|MWBSESCB0|SC|000062||KENYA RUNGETO SCOOPI|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANR05B|KENYA RUNGETO SCOOPING 100 GRAMS|Coffee Bean Scoop|0|0|1
|BEANR05BB|CBS|MWBSECBS0|SC|000062||KENYA RUNGETO scoopi|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/31 00:00:00.000000000|UNT|BEANR05BB|KENYA RUNGETO scooping 100 grams|Coffee Bean Scoop|0|0|1
|BEANR06A|SCB|MWBSESCB0|SC|||EAST TIMOR PEABERRY|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANR06A|EAST TIMOR PEABERRY SCOOPING 50 GRAMS|Coffee Bean Scoop|0|0|1
|BEANR06AA|CBS|MWBSECBS0|SC|000062||EAST TIMOR PEABERRY|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/21 00:00:00.000000000|UNT|BEANR06AA|EAST TIMOR PEABERRY scooping 50 grams|Coffee Bean Scoop|0|0|1
|BEANR06B|SCB|MWBSESCB0|SC|000062||EAST TIMOR PEABERRY|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANR06B|EAST TIMOR PEABERRY SCOOPING 100 GRAMS|Coffee Bean Scoop|0|0|1
|BEANR06BB|CBS|MWBSECBS0|SC|000062||EAST TIMOR PEABERRY|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/31 00:00:00.000000000|UNT|BEANR06BB|EAST TIMOR PEABERRY scooping 100 grams|Coffee Bean Scoop|0|0|1
|BEANR07A|SCB|MWBSESCB0|SC|||MALAWI SABLE FARMS S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANR07A|MALAWI SABLE FARMS SCOOPING 50 GRAMS|Coffee Bean Scoop|0|0|1
|BEANR07AA|CBS|MWBSECBS0|SC|000062||MALAWI SABLE FARMS s|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/21 00:00:00.000000000|UNT|BEANR07AA|MALAWI SABLE FARMS scooping 50 grams|Coffee Bean Scoop|0|0|1
|BEANR07B|SCB|MWBSESCB0|SC|000062||MALAWI SABLE FARMS S|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/07/17 00:00:00.000000000|UNT|BEANR07B|MALAWI SABLE FARMS SCOOPING 100 GRAMS|Coffee Bean Scoop|0|0|1
|BEANR07BB|CBS|MWBSECBS0|SC|000062||MALAWI SABLE FARMS s|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/14 00:00:00.000000000|UNT|BEANR07BB|MALAWI SABLE FARMS scooping 100 grams|Coffee Bean Scoop|0|0|1
|BEANR08AA|CBS|MWBSECBS0|SC|000062||SULAWESI TORAJA SCOO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANR08AA|SULAWESI TORAJA SCOOPING 50 G|Coffee Bean Scoop|0|0|1
|BEANR08BB|CBS|MWBSECBS0|SC|000062||SULAWESI TORAJA SCOO|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANR08BB|SULAWESI TORAJA SCOOPING 100 G|Coffee Bean Scoop|0|0|1
|BEANR09AA|CBS|MWBSECBS0|SC|000062||SUN-DRIED ETH CHELEK|0.0|0.0|20|0|0|0|0|0|0|0|0|0|1|0|2019/11/22 00:00:00.000000000|UNT|BEANR09AA|SUN-DRIED ETH CHELEKTU SCOOPING 50G|Coffee Bean Scoop|0|0|1
